date,Team_1,Team_2,Winner,Margin,Ground
3/14/2015,India,Zimbabwe,India,6 wickets,Auckland
5/26/2015,Pakistan,Zimbabwe,Pakistan,41 runs,Lahore
5/29/2015,Pakistan,Zimbabwe,Pakistan,6 wickets,Lahore
5/31/2015,Pakistan,Zimbabwe,Pakistan,-,Lahore
7/10/2015,Zimbabwe,India,India,4 runs,Harare
7/12/2015,Zimbabwe,India,India,62 runs,Harare
7/14/2015,Zimbabwe,India,India,83 runs,Harare
8/2/2015,Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare
8/4/2015,Zimbabwe,New Zealand,New Zealand,10 wickets,Harare
8/7/2015,Zimbabwe,New Zealand,New Zealand,38 runs,Harare
10/1/2015,Zimbabwe,Pakistan,Pakistan,131 runs,Harare
10/3/2015,Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare
10/5/2015,Zimbabwe,Pakistan,Pakistan,7 wickets,Harare
10/9/2015,Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare
10/11/2015,Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare
10/13/2015,Zimbabwe,Ireland,Ireland,2 wickets,Harare
10/16/2015,Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo
10/18/2015,Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo
10/20/2015,Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo
10/22/2015,Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo
10/24/2015,Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo
11/7/2015,Bangladesh,Zimbabwe,Bangladesh,145 runs,Dhaka
11/9/2015,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka
11/11/2015,Bangladesh,Zimbabwe,Bangladesh,61 runs,Dhaka
12/25/2015,Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah
12/29/2015,Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah
1/2/2016,Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah
1/4/2016,Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah
1/6/2016,Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah
6/11/2016,Zimbabwe,India,India,9 wickets,Harare
6/13/2016,Zimbabwe,India,India,8 wickets,Harare
6/15/2016,Zimbabwe,India,India,10 wickets,Harare
11/14/2016,Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare
11/19/2016,Zimbabwe,West Indies,West Indies,-,Bulawayo
11/21/2016,Zimbabwe,Sri Lanka,Sri Lanka,-,Bulawayo
11/25/2016,Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo
11/27/2016,Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo
2/16/2017,Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare
2/19/2017,Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare
2/21/2017,Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare
2/24/2017,Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare
2/26/2017,Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare
6/15/2017,Scotland,Zimbabwe,Scotland,26 runs,Edinburgh
6/17/2017,Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh
6/30/2017,Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle
7/2/2017,Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle
7/6/2017,Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota
7/8/2017,Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota
7/10/2017,Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota
1/15/2018,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka
1/17/2018,Sri Lanka,Zimbabwe,Zimbabwe,12 runs,Dhaka
1/21/2018,Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,Dhaka
1/23/2018,Bangladesh,Zimbabwe,Bangladesh,91 runs,Dhaka
2/9/2018,Afghanistan,Zimbabwe,Afghanistan,154 runs,Sharjah
2/11/2018,Afghanistan,Zimbabwe,Zimbabwe,154 runs,Sharjah
2/13/2018,Afghanistan,Zimbabwe,Afghanistan,6 wickets,Sharjah
2/16/2018,Afghanistan,Zimbabwe,Afghanistan,10 wickets,Sharjah
2/19/2018,Afghanistan,Zimbabwe,Afghanistan,146 runs,Sharjah
3/6/2018,Zimbabwe,Afghanistan,Zimbabwe,2 runs,Bulawayo
3/10/2018,Zimbabwe,Hong Kong,Zimbabwe,89 runs,Bulawayo
3/12/2018,Zimbabwe,Scotland,Scotland,-,Bulawayo
3/16/2018,Zimbabwe,Ireland,Zimbabwe,107 runs,Harare
3/19/2018,Zimbabwe,West Indies,West Indies,4 wickets,Harare
3/22/2018,Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare
7/13/2018,Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo
7/16/2018,Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo
7/18/2018,Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo
7/20/2018,Zimbabwe,Pakistan,Pakistan,244 runs,Bulawayo
7/22/2018,Zimbabwe,Pakistan,Pakistan,131 runs,Bulawayo
9/30/2018,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley
10/3/2018,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein
10/6/2018,South Africa,Zimbabwe,South Africa,4 wickets,Paarl
10/21/2018,Bangladesh,Zimbabwe,Bangladesh,28 runs,Dhaka
10/24/2018,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
10/26/2018,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram
4/10/2019,Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare
4/12/2019,Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare
4/14/2019,Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare
4/16/2019,Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare
6/19/2019,Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer
6/21/2019,Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer
7/1/2019,Ireland,Zimbabwe,Ireland,4 wickets,Bready
7/4/2019,Ireland,Zimbabwe,Ireland,5 runs,Belfast
7/7/2019,Ireland,Zimbabwe,Ireland,6 wickets,Belfast
3/1/2020,Bangladesh,Zimbabwe,Bangladesh,169 runs,Sylhet
3/3/2020,Bangladesh,Zimbabwe,Bangladesh,4 runs,Sylhet
3/6/2020,Bangladesh,Zimbabwe,Bangladesh,123 runs,Sylhet
4/8/2020,Zimbabwe,Ireland,Ireland,-,Bulawayo
4/10/2020,Zimbabwe,Ireland,Ireland,-,Bulawayo
4/12/2020,Zimbabwe,Ireland,Ireland,-,Bulawayo
5/17/2006,Bermuda,Canada,Bermuda,3 wickets,Port of Spain
5/18/2006,Bermuda,Zimbabwe,Zimbabwe,194 runs,Port of Spain
5/20/2006,Bermuda,Zimbabwe,Zimbabwe,83 runs,Port of Spain
8/19/2006,Canada,Bermuda,Bermuda,6 wickets,Toronto
8/21/2006,Canada,Bermuda,Bermuda,11 runs,Toronto
11/11/2006,Kenya,Bermuda,Kenya,79 runs,Mombasa
11/12/2006,Kenya,Bermuda,Kenya,7 wickets,Mombasa
11/14/2006,Kenya,Bermuda,Kenya,104 runs,Mombasa
11/27/2006,Bermuda,Canada,Canada,5 wickets,Potchefstroom
11/28/2006,Bermuda,Netherlands,Netherlands,8 wickets,Potchefstroom
11/30/2006,Bermuda,Canada,Canada,3 wickets,Benoni
12/2/2006,Bermuda,Netherlands,Bermuda,6 wickets,Benoni
1/29/2007,Kenya,Bermuda,Kenya,10 wickets,Nairobi (Jaff)
1/31/2007,Bermuda,Ireland,Ireland,4 wickets,Nairobi (Jaff)
2/2/2007,Bermuda,Canada,Canada,56 runs,Nairobi (Gym)
2/4/2007,Bermuda,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka)
2/5/2007,Bermuda,Scotland,Bermuda,5 wickets,Nairobi (Ruaraka)
2/25/2007,Bangladesh,Bermuda,Bangladesh,8 wickets,St John's
2/26/2007,Bermuda,Canada,Canada,3 wickets,St John's
3/15/2007,Bermuda,Sri Lanka,Sri Lanka,243 runs,Port of Spain
3/19/2007,Bermuda,India,India,257 runs,Port of Spain
3/25/2007,Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain
8/18/2007,Netherlands,Bermuda,Netherlands,172 runs,Rotterdam
8/20/2007,Netherlands,Bermuda,Netherlands,8 wickets,Rotterdam
10/25/2007,Kenya,Bermuda,Kenya,8 wickets,Nairobi (Gym)
10/27/2007,Kenya,Bermuda,Kenya,3 wickets,Nairobi (Gym)
10/28/2007,Kenya,Bermuda,Kenya,1 wickets,Nairobi (Gym)
6/28/2008,Canada,Bermuda,Bermuda,3 wickets,King City (NW)
6/29/2008,Canada,Bermuda,Bermuda,11 runs,King City (NW)
7/1/2008,Canada,Bermuda,Canada,77 runs,King City (NW)
8/7/2008,Netherlands,Bermuda,Netherlands,-,Amstelveen
8/8/2008,Netherlands,Bermuda,Netherlands,6 wickets,Amstelveen
8/18/2008,Canada,Bermuda,Canada,25 runs,King City (NW)
8/20/2008,Bermuda,West Indies,West Indies,6 wickets,King City (NW)
4/6/2009,Bermuda,Kenya,Kenya,7 wickets,Potchefstroom
4/8/2009,Bermuda,Netherlands,Netherlands,63 runs,Potchefstroom
9/16/2002,Sri Lanka,Netherlands,Sri Lanka,206 runs,Colombo (RPS)
9/21/2002,Netherlands,Pakistan,Pakistan,9 wickets,Colombo (SSC)
2/12/2003,India,Netherlands,India,68 runs,Paarl
2/16/2003,England,Netherlands,England,6 wickets,East London
2/20/2003,Australia,Netherlands,Australia,75 runs,Potchefstroom
2/25/2003,Netherlands,Pakistan,Pakistan,97 runs,Paarl
2/28/2003,Zimbabwe,Netherlands,Zimbabwe,99 runs,Bulawayo
3/3/2003,Namibia,Netherlands,Netherlands,64 runs,Bloemfontein
7/4/2006,Netherlands,Sri Lanka,Sri Lanka,195 runs,Amstelveen
7/6/2006,Netherlands,Sri Lanka,Sri Lanka,55 runs,Amstelveen
8/6/2006,Scotland,Netherlands,Scotland,4 wickets,Ayr
8/8/2006,Ireland,Netherlands,Ireland,-,Ayr
11/26/2006,Canada,Netherlands,Netherlands,17 runs,Potchefstroom
11/28/2006,Bermuda,Netherlands,Netherlands,8 wickets,Potchefstroom
12/1/2006,Canada,Netherlands,Netherlands,1 wickets,Benoni
12/2/2006,Bermuda,Netherlands,Bermuda,6 wickets,Benoni
1/30/2007,Canada,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka)
1/31/2007,Kenya,Netherlands,Kenya,7 wickets,Nairobi (Gym)
2/2/2007,Netherlands,Scotland,Scotland,2 runs,Nairobi (Jaff)
2/4/2007,Bermuda,Netherlands,Netherlands,8 wickets,Nairobi (Ruaraka)
2/5/2007,Ireland,Netherlands,Netherlands,6 runs,Nairobi (Gym)
3/16/2007,Netherlands,South Africa,South Africa,221 runs,Basseterre
3/18/2007,Australia,Netherlands,Australia,229 runs,Basseterre
3/22/2007,Netherlands,Scotland,Netherlands,8 wickets,Basseterre
7/3/2007,Canada,Netherlands,Netherlands,117 runs,Toronto
7/4/2007,Canada,Netherlands,Canada,-,Toronto
7/10/2007,Netherlands,West Indies,West Indies,10 wickets,Dublin
7/11/2007,Ireland,Netherlands,Ireland,1 runs,Belfast
7/13/2007,Netherlands,Scotland,Scotland,-,Belfast
8/18/2007,Netherlands,Bermuda,Netherlands,172 runs,Rotterdam
8/20/2007,Netherlands,Bermuda,Netherlands,8 wickets,Rotterdam
7/28/2008,Ireland,Netherlands,Ireland,7 wickets,Dublin
7/29/2008,Netherlands,Scotland,Scotland,6 wickets,Dublin
8/7/2008,Netherlands,Bermuda,Bermuda,-,Amstelveen
8/8/2008,Netherlands,Bermuda,Netherlands,6 wickets,Amstelveen
8/21/2008,Netherlands,Kenya,Netherlands,6 wickets,Rotterdam
4/1/2009,Kenya,Netherlands,Netherlands,7 wickets,Potchefstroom
4/8/2009,Bermuda,Netherlands,Netherlands,63 runs,Potchefstroom
4/19/2009,Kenya,Netherlands,Netherlands,6 wickets,Potchefstroom
7/11/2009,Netherlands,Canada,Netherlands,50 runs,Amstelveen
7/12/2009,Netherlands,Canada,Canada,-,Amstelveen
8/30/2009,Netherlands,Afghanistan,Netherlands,8 runs,Amstelveen
9/1/2009,Netherlands,Afghanistan,Afghanistan,6 wickets,Amstelveen
2/16/2010,Kenya,Netherlands,Kenya,6 wickets,Nairobi (Gym)
2/18/2010,Kenya,Netherlands,Netherlands,80 runs,Nairobi (Gym)
6/15/2010,Netherlands,Scotland,Netherlands,6 wickets,Rotterdam
7/1/2010,Netherlands,Scotland,Scotland,1 wickets,Amstelveen
7/3/2010,Netherlands,Kenya,Netherlands,117 runs,The Hague
7/5/2010,Netherlands,Canada,Netherlands,7 wickets,Rotterdam
7/7/2010,Netherlands,Afghanistan,Afghanistan,6 wickets,The Hague
7/9/2010,Netherlands,Ireland,Ireland,39 runs,Amstelveen
7/10/2010,Netherlands,Afghanistan,Afghanistan,5 wickets,Rotterdam
7/20/2010,Bangladesh,Netherlands,Netherlands,6 wickets,Glasgow
8/16/2010,Ireland,Netherlands,Ireland,70 runs,Dublin
8/18/2010,Ireland,Netherlands,Ireland,9 wickets,Dublin
2/22/2011,England,Netherlands,England,6 wickets,Nagpur
2/28/2011,Netherlands,West Indies,West Indies,215 runs,Delhi
3/3/2011,Netherlands,South Africa,South Africa,231 runs,Mohali
3/9/2011,India,Netherlands,India,5 wickets,Delhi
3/14/2011,Bangladesh,Netherlands,Bangladesh,6 wickets,Chattogram
3/18/2011,Ireland,Netherlands,Ireland,6 wickets,Kolkata
6/28/2011,Scotland,Netherlands,Scotland,15 runs,Aberdeen
6/29/2011,Scotland,Netherlands,Scotland,5 wickets,Aberdeen
9/12/2011,Netherlands,Kenya,Netherlands,2 wickets,The Hague
9/13/2011,Netherlands,Kenya,Netherlands,4 wickets,The Hague
3/29/2012,Afghanistan,Netherlands,Netherlands,9 wickets,Sharjah
3/31/2012,Afghanistan,Netherlands,Afghanistan,5 wickets,Sharjah
5/31/2013,Netherlands,South Africa,South Africa,83 runs,Amstelveen
7/7/2013,Netherlands,Ireland,Ireland,88 runs,Amstelveen
7/9/2013,Netherlands,Ireland,Ireland,-,Amstelveen
8/27/2013,Canada,Netherlands,Canada,-,King City (NW)
8/29/2013,Canada,Netherlands,Netherlands,9 wickets,King City (NW)
1/23/2014,Kenya,Netherlands,Kenya,4 wickets,Lincoln
1/28/2014,Canada,Netherlands,Netherlands,8 wickets,Mount Maunganui
8/1/2018,Netherlands,Nepal,Netherlands,55 runs,Amstelveen
8/3/2018,Netherlands,Nepal,Nepal,1 runs,Amstelveen
6/19/2019,Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer
6/21/2019,Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer
3/29/2020,Namibia,Netherlands,Namibia,-,Windhoek
3/31/2020,Namibia,Netherlands,Namibia,-,Windhoek
4/1/2020,Namibia,Netherlands,Namibia,-,Windhoek
4/7/2001,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare
4/8/2001,Zimbabwe,Bangladesh,Zimbabwe,127 runs,Harare
4/11/2001,Zimbabwe,Bangladesh,Zimbabwe,36 runs,Bulawayo
11/23/2001,Bangladesh,Zimbabwe,Zimbabwe,5 wickets,Chattogram
11/25/2001,Bangladesh,Zimbabwe,Zimbabwe,42 runs,Dhaka
11/26/2001,Bangladesh,Zimbabwe,Zimbabwe,7 wickets,Dhaka
1/22/2002,Bangladesh,Pakistan,Pakistan,49 runs,Chattogram
1/24/2002,Bangladesh,Pakistan,Pakistan,72 runs,Dhaka
1/25/2002,Bangladesh,Pakistan,Pakistan,8 wickets,Dhaka
8/4/2002,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (SSC)
8/5/2002,Sri Lanka,Bangladesh,Sri Lanka,8 wickets,Colombo (SSC)
8/7/2002,Sri Lanka,Bangladesh,Sri Lanka,58 runs,Colombo (RPS)
9/19/2002,Australia,Bangladesh,Australia,9 wickets,Colombo (SSC)
9/23/2002,Bangladesh,New Zealand,New Zealand,167 runs,Colombo (SSC)
10/3/2002,South Africa,Bangladesh,South Africa,168 runs,Potchefstroom
10/6/2002,South Africa,Bangladesh,South Africa,10 wickets,Benoni
10/9/2002,South Africa,Bangladesh,South Africa,7 wickets,Kimberley
11/29/2002,Bangladesh,West Indies,West Indies,-,Chattogram
12/2/2002,Bangladesh,West Indies,West Indies,84 runs,Dhaka
12/3/2002,Bangladesh,West Indies,West Indies,86 runs,Dhaka
2/11/2003,Bangladesh,Canada,Canada,60 runs,Durban
2/14/2003,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Pietermaritzburg
2/18/2003,Bangladesh,West Indies,West Indies,-,Benoni
2/22/2003,South Africa,Bangladesh,South Africa,10 wickets,Bloemfontein
2/26/2003,Bangladesh,New Zealand,New Zealand,7 wickets,Kimberley
3/1/2003,Bangladesh,Kenya,Kenya,32 runs,Johannesburg
4/11/2003,Bangladesh,India,India,200 runs,Dhaka
4/14/2003,Bangladesh,South Africa,South Africa,83 runs,Dhaka
4/16/2003,Bangladesh,India,India,4 wickets,Dhaka
4/17/2003,Bangladesh,South Africa,South Africa,93 runs,Dhaka
8/2/2003,Australia,Bangladesh,Australia,8 wickets,Cairns
8/3/2003,Australia,Bangladesh,Australia,9 wickets,Cairns
8/6/2003,Australia,Bangladesh,Australia,112 runs,Darwin
9/9/2003,Pakistan,Bangladesh,Pakistan,137 runs,Multan
9/12/2003,Pakistan,Bangladesh,Pakistan,74 runs,Faisalabad
9/15/2003,Pakistan,Bangladesh,Pakistan,42 runs,Lahore
9/18/2003,Pakistan,Bangladesh,Pakistan,5 wickets,Rawalpindi
9/21/2003,Pakistan,Bangladesh,Pakistan,58 runs,Karachi
11/7/2003,Bangladesh,England,England,7 wickets,Chattogram
11/10/2003,Bangladesh,England,England,7 wickets,Dhaka
11/12/2003,Bangladesh,England,England,7 wickets,Dhaka
3/6/2004,Zimbabwe,Bangladesh,Zimbabwe,-,Bulawayo
3/7/2004,Zimbabwe,Bangladesh,Zimbabwe,-,Bulawayo
3/10/2004,Zimbabwe,Bangladesh,Bangladesh,8 runs,Harare
3/12/2004,Zimbabwe,Bangladesh,Zimbabwe,14 runs,Harare
3/14/2004,Zimbabwe,Bangladesh,Zimbabwe,3 wickets,Harare
5/15/2004,West Indies,Bangladesh,West Indies,1 wickets,Kingstown
5/16/2004,West Indies,Bangladesh,West Indies,23 runs,Kingstown
5/19/2004,West Indies,Bangladesh,West Indies,7 wickets,St George's
7/16/2004,Bangladesh,Hong Kong,Bangladesh,116 runs,Colombo (SSC)
7/17/2004,Bangladesh,Pakistan,Pakistan,76 runs,Colombo (SSC)
7/21/2004,Bangladesh,India,India,8 wickets,Colombo (SSC)
7/23/2004,Sri Lanka,Bangladesh,Sri Lanka,10 wickets,Colombo (RPS)
7/29/2004,Bangladesh,Pakistan,Pakistan,6 wickets,Colombo (RPS)
9/12/2004,Bangladesh,South Africa,South Africa,9 wickets,Birmingham
9/15/2004,Bangladesh,West Indies,West Indies,138 runs,Southampton
11/2/2004,Bangladesh,New Zealand,New Zealand,138 runs,Chattogram
11/5/2004,Bangladesh,New Zealand,New Zealand,3 wickets,Dhaka
11/7/2004,Bangladesh,New Zealand,New Zealand,83 runs,Dhaka
12/23/2004,Bangladesh,India,India,11 runs,Chattogram
12/26/2004,Bangladesh,India,Bangladesh,15 runs,Dhaka
12/27/2004,Bangladesh,India,India,91 runs,Dhaka
1/20/2005,Bangladesh,Zimbabwe,Zimbabwe,22 runs,Dhaka
1/24/2005,Bangladesh,Zimbabwe,Zimbabwe,31 runs,Chattogram
1/26/2005,Bangladesh,Zimbabwe,Bangladesh,40 runs,Chattogram
1/29/2005,Bangladesh,Zimbabwe,Bangladesh,58 runs,Dhaka
1/31/2005,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka
6/16/2005,England,Bangladesh,England,10 wickets,The Oval
6/18/2005,Australia,Bangladesh,Bangladesh,5 wickets,Cardiff
6/21/2005,England,Bangladesh,England,168 runs,Nottingham
6/25/2005,Australia,Bangladesh,Australia,10 wickets,Manchester
6/26/2005,England,Bangladesh,England,5 wickets,Leeds
6/30/2005,Australia,Bangladesh,Australia,6 wickets,Canterbury
8/31/2005,Sri Lanka,Bangladesh,Sri Lanka,88 runs,Colombo (SSC)
9/2/2005,Sri Lanka,Bangladesh,Sri Lanka,75 runs,Colombo (RPS)
9/4/2005,Sri Lanka,Bangladesh,Sri Lanka,6 wickets,Colombo (RPS)
2/20/2006,Bangladesh,Sri Lanka,Sri Lanka,5 wickets,Bogra
2/22/2006,Bangladesh,Sri Lanka,Bangladesh,4 wickets,Bogra
2/25/2006,Bangladesh,Sri Lanka,Sri Lanka,78 runs,Chattogram
3/17/2006,Bangladesh,Kenya,Bangladesh,131 runs,Bogra
3/20/2006,Bangladesh,Kenya,Bangladesh,9 wickets,Khulna
3/23/2006,Bangladesh,Kenya,Bangladesh,20 runs,Fatullah
3/25/2006,Bangladesh,Kenya,Bangladesh,7 wickets,Fatullah
4/23/2006,Bangladesh,Australia,Australia,4 wickets,Chattogram
4/26/2006,Bangladesh,Australia,Australia,67 runs,Fatullah
4/28/2006,Bangladesh,Australia,Australia,9 wickets,Fatullah
7/29/2006,Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare
7/30/2006,Zimbabwe,Bangladesh,Bangladesh,62 runs,Harare
8/2/2006,Zimbabwe,Bangladesh,Zimbabwe,2 wickets,Harare
8/4/2006,Zimbabwe,Bangladesh,Zimbabwe,7 wickets,Harare
8/6/2006,Zimbabwe,Bangladesh,Bangladesh,8 wickets,Harare
8/12/2006,Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym)
8/13/2006,Kenya,Bangladesh,Bangladesh,2 wickets,Nairobi (Gym)
8/15/2006,Kenya,Bangladesh,Bangladesh,6 wickets,Nairobi (Gym)
10/7/2006,Bangladesh,Sri Lanka,Sri Lanka,37 runs,Mohali
10/11/2006,Bangladesh,West Indies,West Indies,10 wickets,Jaipur
10/13/2006,Bangladesh,Zimbabwe,Bangladesh,101 runs,Jaipur
11/30/2006,Bangladesh,Zimbabwe,Bangladesh,9 wickets,Khulna
12/3/2006,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Bogra
12/5/2006,Bangladesh,Zimbabwe,Bangladesh,26 runs,Bogra
12/8/2006,Bangladesh,Zimbabwe,Bangladesh,8 wickets,Dhaka
12/9/2006,Bangladesh,Zimbabwe,Bangladesh,3 wickets,Dhaka
12/15/2006,Bangladesh,Scotland,Bangladesh,6 wickets,Chattogram
12/17/2006,Bangladesh,Scotland,Bangladesh,146 runs,Dhaka
2/4/2007,Zimbabwe,Bangladesh,Bangladesh,45 runs,Harare
2/6/2007,Zimbabwe,Bangladesh,Zimbabwe,8 wickets,Harare
2/9/2007,Zimbabwe,Bangladesh,Bangladesh,14 runs,Harare
2/10/2007,Zimbabwe,Bangladesh,Bangladesh,1 wickets,Harare
2/25/2007,Bangladesh,Bermuda,Bangladesh,8 wickets,St John's
2/28/2007,Bangladesh,Canada,Bangladesh,13 runs,St John's
3/17/2007,Bangladesh,India,Bangladesh,5 wickets,Port of Spain
3/21/2007,Bangladesh,Sri Lanka,Sri Lanka,198 runs,Port of Spain
3/25/2007,Bangladesh,Bermuda,Bangladesh,7 wickets,Port of Spain
3/31/2007,Australia,Bangladesh,Australia,10 wickets,North Sound
4/2/2007,Bangladesh,New Zealand,New Zealand,9 wickets,North Sound
4/7/2007,Bangladesh,South Africa,Bangladesh,67 runs,Providence
4/11/2007,Bangladesh,England,England,4 wickets,Bridgetown
4/15/2007,Bangladesh,Ireland,Ireland,74 runs,Bridgetown
4/19/2007,West Indies,Bangladesh,West Indies,99 runs,Bridgetown
5/10/2007,Bangladesh,India,India,5 wickets,Dhaka
5/12/2007,Bangladesh,India,India,46 runs,Dhaka
5/15/2007,Bangladesh,India,India,-,Chattogram
7/20/2007,Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (PSS)
7/23/2007,Sri Lanka,Bangladesh,Sri Lanka,5 wickets,Colombo (RPS)
7/25/2007,Sri Lanka,Bangladesh,Sri Lanka,39 runs,Colombo (RPS)
12/26/2007,New Zealand,Bangladesh,New Zealand,6 wickets,Auckland
12/28/2007,New Zealand,Bangladesh,New Zealand,102 runs,Napier
12/31/2007,New Zealand,Bangladesh,New Zealand,10 wickets,Queenstown
3/9/2008,Bangladesh,South Africa,South Africa,9 wickets,Chattogram
3/12/2008,Bangladesh,South Africa,South Africa,7 wickets,Dhaka
3/14/2008,Bangladesh,South Africa,South Africa,7 wickets,Dhaka
3/18/2008,Bangladesh,Ireland,Bangladesh,8 wickets,Dhaka
3/20/2008,Bangladesh,Ireland,Bangladesh,84 runs,Dhaka
3/22/2008,Bangladesh,Ireland,Bangladesh,79 runs,Dhaka
4/8/2008,Pakistan,Bangladesh,Pakistan,152 runs,Lahore
4/11/2008,Pakistan,Bangladesh,Pakistan,7 wickets,Faisalabad
4/13/2008,Pakistan,Bangladesh,Pakistan,23 runs,Lahore
4/16/2008,Pakistan,Bangladesh,Pakistan,7 wickets,Multan
4/19/2008,Pakistan,Bangladesh,Pakistan,150 runs,Karachi
6/8/2008,Bangladesh,Pakistan,Pakistan,70 runs,Dhaka
6/12/2008,Bangladesh,India,India,7 wickets,Dhaka
6/24/2008,Bangladesh,U.A.E.,Bangladesh,96 runs,Lahore
6/25/2008,Bangladesh,Sri Lanka,Sri Lanka,131 runs,Lahore
6/28/2008,Bangladesh,India,India,7 wickets,Karachi
6/30/2008,Bangladesh,Sri Lanka,Sri Lanka,158 runs,Karachi
7/4/2008,Pakistan,Bangladesh,Pakistan,10 wickets,Karachi
8/30/2008,Australia,Bangladesh,Australia,180 runs,Darwin
9/3/2008,Australia,Bangladesh,Australia,8 wickets,Darwin
9/6/2008,Australia,Bangladesh,Australia,73 runs,Darwin
10/9/2008,Bangladesh,New Zealand,Bangladesh,7 wickets,Dhaka
10/11/2008,Bangladesh,New Zealand,New Zealand,75 runs,Dhaka
10/14/2008,Bangladesh,New Zealand,New Zealand,79 runs,Chattogram
11/7/2008,South Africa,Bangladesh,South Africa,61 runs,Potchefstroom
11/9/2008,South Africa,Bangladesh,South Africa,128 runs,Benoni
11/12/2008,South Africa,Bangladesh,South Africa,-,East London
1/10/2009,Bangladesh,Zimbabwe,Zimbabwe,38 runs,Dhaka
1/14/2009,Bangladesh,Sri Lanka,Bangladesh,5 wickets,Dhaka
1/16/2009,Bangladesh,Sri Lanka,Sri Lanka,2 wickets,Dhaka
1/19/2009,Bangladesh,Zimbabwe,Zimbabwe,2 wickets,Dhaka
1/21/2009,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka
1/23/2009,Bangladesh,Zimbabwe,Bangladesh,6 wickets,Dhaka
7/26/2009,West Indies,Bangladesh,Bangladesh,52 runs,Roseau
7/28/2009,West Indies,Bangladesh,Bangladesh,3 wickets,Roseau
7/31/2009,West Indies,Bangladesh,Bangladesh,3 wickets,Basseterre
8/9/2009,Zimbabwe,Bangladesh,Bangladesh,8 wickets,Bulawayo
8/11/2009,Zimbabwe,Bangladesh,Bangladesh,49 runs,Bulawayo
8/14/2009,Zimbabwe,Bangladesh,Zimbabwe,69 runs,Bulawayo
8/16/2009,Zimbabwe,Bangladesh,Bangladesh,4 wickets,Bulawayo
